Ground truth pos_x: 10.480000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.960000, Ground truth v_y: 6.000000, Measurement pos_x: 10.588838 , Measurement pos_y: 20.480185, Estimated pos_x: 10.830259, Estimated v_x: 1.039803, Estimated pos_y: 20.533101, Estimated v_y: 0.852817, Kalman gain1: 0.621850, Kalman gain2: 0.620204, Time taken for Kalman Filter: 0.306000 seconds
Ground truth pos_x: 10.510000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.020000, Ground truth v_y: 6.000000, Measurement pos_x: 10.534645 , Measurement pos_y: 21.411744, Estimated pos_x: 10.684063, Estimated v_x: 0.883650, Estimated pos_y: 20.503394, Estimated v_y: 0.810150, Kalman gain1: 0.621850, Kalman gain2: 0.620101, Time taken for Kalman Filter: 0.327000 seconds
Ground truth pos_x: 10.540000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.080000, Ground truth v_y: 6.000000, Measurement pos_x: 10.171950 , Measurement pos_y: 20.726211, Estimated pos_x: 10.594489, Estimated v_x: 0.785532, Estimated pos_y: 21.071742, Estimated v_y: 1.440649, Kalman gain1: 0.621849, Kalman gain2: 0.619999, Time taken for Kalman Filter: 0.344000 seconds
Ground truth pos_x: 10.570000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.140000, Ground truth v_y: 6.000000, Measurement pos_x: 10.190392 , Measurement pos_y: 21.456545, Estimated pos_x: 10.334705, Estimated v_x: 0.518731, Estimated pos_y: 20.862138, Estimated v_y: 1.186417, Kalman gain1: 0.621848, Kalman gain2: 0.619899, Time taken for Kalman Filter: 0.364000 seconds
Ground truth pos_x: 10.600000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.200000, Ground truth v_y: 6.000000, Measurement pos_x: 10.587096 , Measurement pos_y: 20.887771, Estimated pos_x: 10.246926, Estimated v_x: 0.426071, Estimated pos_y: 21.236575, Estimated v_y: 1.601351, Kalman gain1: 0.621848, Kalman gain2: 0.619801, Time taken for Kalman Filter: 0.385000 seconds
Ground truth pos_x: 10.630000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.260000, Ground truth v_y: 6.000000, Measurement pos_x: 10.729925 , Measurement pos_y: 21.043171, Estimated pos_x: 10.460071, Estimated v_x: 0.634235, Estimated pos_y: 21.025513, Estimated v_y: 1.339325, Kalman gain1: 0.621847, Kalman gain2: 0.619705, Time taken for Kalman Filter: 0.403000 seconds
Ground truth pos_x: 10.660000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.320000, Ground truth v_y: 6.000000, Measurement pos_x: 10.595383 , Measurement pos_y: 20.776386, Estimated pos_x: 10.630277, Estimated v_x: 0.797510, Estimated pos_y: 21.041561, Estimated v_y: 1.342414, Kalman gain1: 0.621847, Kalman gain2: 0.619611, Time taken for Kalman Filter: 0.422000 seconds
Ground truth pos_x: 10.690000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.380000, Ground truth v_y: 6.000000, Measurement pos_x: 10.970731 , Measurement pos_y: 21.468631, Estimated pos_x: 10.611594, Estimated v_x: 0.770952, Estimated pos_y: 20.881555, Estimated v_y: 1.138996, Kalman gain1: 0.621846, Kalman gain2: 0.619518, Time taken for Kalman Filter: 0.441000 seconds
Ground truth pos_x: 10.720000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.440000, Ground truth v_y: 6.000000, Measurement pos_x: 10.525172 , Measurement pos_y: 20.798929, Estimated pos_x: 10.837837, Estimated v_x: 0.988636, Estimated pos_y: 21.251335, Estimated v_y: 1.562756, Kalman gain1: 0.621845, Kalman gain2: 0.619428, Time taken for Kalman Filter: 0.461000 seconds
Ground truth pos_x: 10.750000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.500000, Ground truth v_y: 6.000000, Measurement pos_x: 10.972186 , Measurement pos_y: 21.052340, Estimated pos_x: 10.647147, Estimated v_x: 0.788867, Estimated pos_y: 20.975574, Estimated v_y: 1.215454, Kalman gain1: 0.621845, Kalman gain2: 0.619339, Time taken for Kalman Filter: 0.480000 seconds
Ground truth pos_x: 10.780000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.560000, Ground truth v_y: 6.000000, Measurement pos_x: 10.809265 , Measurement pos_y: 21.460796, Estimated pos_x: 10.852253, Estimated v_x: 0.985263, Estimated pos_y: 21.027957, Estimated v_y: 1.263783, Kalman gain1: 0.621844, Kalman gain2: 0.619252, Time taken for Kalman Filter: 0.498000 seconds
Ground truth pos_x: 10.810000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.620000, Ground truth v_y: 6.000000, Measurement pos_x: 10.302756 , Measurement pos_y: 22.169565, Estimated pos_x: 10.829247, Estimated v_x: 0.952546, Estimated pos_y: 21.302234, Estimated v_y: 1.580589, Kalman gain1: 0.621844, Kalman gain2: 0.619167, Time taken for Kalman Filter: 0.517000 seconds
Ground truth pos_x: 10.840000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.680000, Ground truth v_y: 6.000000, Measurement pos_x: 10.257567 , Measurement pos_y: 21.700568, Estimated pos_x: 10.505454, Estimated v_x: 0.620707, Estimated pos_y: 21.848275, Estimated v_y: 2.227647, Kalman gain1: 0.621843, Kalman gain2: 0.619083, Time taken for Kalman Filter: 0.536000 seconds
Ground truth pos_x: 10.870000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.740000, Ground truth v_y: 6.000000, Measurement pos_x: 10.957300 , Measurement pos_y: 21.590493, Estimated pos_x: 10.353655, Estimated v_x: 0.463422, Estimated pos_y: 21.764699, Estimated v_y: 2.097470, Kalman gain1: 0.621843, Kalman gain2: 0.619002, Time taken for Kalman Filter: 0.553000 seconds
Ground truth pos_x: 10.900000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.800000, Ground truth v_y: 6.000000, Measurement pos_x: 11.377452 , Measurement pos_y: 21.563905, Estimated pos_x: 10.730779, Estimated v_x: 0.834163, Estimated pos_y: 21.664122, Estimated v_y: 1.946836, Kalman gain1: 0.621842, Kalman gain2: 0.618921, Time taken for Kalman Filter: 0.572000 seconds
Ground truth pos_x: 10.930000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.860000, Ground truth v_y: 6.000000, Measurement pos_x: 10.911168 , Measurement pos_y: 22.163097, Estimated pos_x: 11.136062, Estimated v_x: 1.229190, Estimated pos_y: 21.609051, Estimated v_y: 1.853756, Kalman gain1: 0.621842, Kalman gain2: 0.618843, Time taken for Kalman Filter: 0.590000 seconds
Ground truth pos_x: 10.960000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.920000, Ground truth v_y: 6.000000, Measurement pos_x: 11.067248 , Measurement pos_y: 21.526206, Estimated pos_x: 11.000862, Estimated v_x: 1.082427, Estimated pos_y: 21.961121, Estimated v_y: 2.273402, Kalman gain1: 0.621841, Kalman gain2: 0.618766, Time taken for Kalman Filter: 0.610000 seconds
